阿共打來怎麼辦：你以為知道但實際一無所知的台海軍事常識,"作者：王立,沈伯洋",https://www.books.com.tw/products/0010911397?loc=P_0003_063
長生石的守護者（《養心》《修煉》作者最新作品）,作者：陳郁如,https://www.books.com.tw/products/0010911795?loc=P_0003_064
用生活常識就能看懂財務報表,作者：林明樟,https://www.books.com.tw/products/0010704573?loc=P_0003_065
股息Cover我每一天：600張存股達人絕活全公開,作者：大俠武林,https://www.books.com.tw/products/0010898998?loc=P_0003_066
世界最神奇的24堂課,作者：查爾斯．哈奈爾,https://www.books.com.tw/products/0010356789?loc=P_0003_067
新制多益TOEIC單字／全新！聽力＋閱讀 題庫大全【博客來獨家套書】：最完備、全面的新制多益學習套書（附3 MP3＋互動式聽力答題訓練光碟＋音檔下載QR碼）,作者：David Cho,https://www.books.com.tw/products/0010904111?loc=P_0003_068
投機者的撲克：操盤十八年手記,作者：扁蟲魚,https://www.books.com.tw/products/0010912784?loc=P_0003_069
蒼之炎II-飛翔編-,作者：羽生結弦,https://www.books.com.tw/products/0010860826?loc=P_0003_070
過度努力：每個「過度」，都是傷的證明,作者：周慕姿,https://www.books.com.tw/products/0010885064?loc=P_0003_071
咒術迴戰 18 (首刷限定版),作者：芥見下々,https://www.books.com.tw/products/0010914129?loc=P_0003_072
沒有女人的男人們（電影書腰全心出發版）,作者：村上春樹,https://www.books.com.tw/products/0010914061?loc=P_0003_073
兔之森 2 (首刷限定版),作者：苑生,https://www.books.com.tw/products/0010912796?loc=P_0003_074
【限量】戰鬥吧！成語：歡迎登入厭世國文伺服器（附贈「戰鬥吧！人生」出門必問之骰一組2款）,作者：厭世國文老師,https://www.books.com.tw/products/0010914791?loc=P_0003_075
看故事，學寫作：李崇建帶領王牌寫作天團到你家！23個創作靈感X24個寫作技巧，助你輕鬆寫出好作文(共2冊),"作者：李崇建,張詩亞,張佳詩",https://www.books.com.tw/products/0010893342?loc=P_0003_076
